test_month,train_start,train_end,seat_cov_all,base_alpha,base_sharpe,base_n_days,base_n_stocks,seat_alpha,seat_sharpe,seat_n_days,seat_n_stocks,seat5_alpha,seat5_sharpe,seat5_n_days,seat5_n_stocks
202410,20220901,20240928,0.0473808122424955,8.90712574903702,8.403082000039376,18,22.38888888888889,8.852392070572627,8.219084443703947,18,22.38888888888889,8.897723847883132,8.462630492288175,18,22.33333333333333
202411,20221001,20241028,0.0492189088936883,5.991375611449432,8.010821551044389,21,22.285714285714285,5.991375611449432,8.010821551044389,21,22.285714285714285,5.991375611449432,8.010821551044389,21,22.285714285714285
202412,20221101,20241128,0.0396088921686191,3.078655335264752,4.4500782641404175,22,21.045454545454547,3.09384339009642,4.458331272546897,22,21.045454545454547,3.09384339009642,4.458331272546897,22,21.045454545454547
202501,20221201,20241231,0.0331683725115285,7.713433736508869,4.317075919830499,18,4.833333333333333,7.676682212095495,4.31751349835706,18,4.833333333333333,7.713433736508869,4.317075919830499,18,4.833333333333333
202502,20230101,20250128,0.037229505252761,2.382595388734348,3.6029938136479305,18,20.22222222222222,2.382595388734348,3.6029938136479305,18,20.22222222222222,2.382595388734348,3.6029938136479305,18,20.22222222222222
202503,20230201,20250228,0.0351025668150912,6.724354273367802,4.247640377412265,21,21.666666666666668,6.724354273367802,4.247640377412265,21,21.666666666666668,6.724354273367802,4.247640377412265,21,21.666666666666668
202504,20230301,20250328,0.0376168336289124,4.150380715503159,3.609788077002346,20,16.9,4.334740747375269,3.765941335532224,20,16.9,4.331764553323394,3.759475085965077,20,16.9
202505,20230401,20250428,0.0312748055246864,2.339931846264224,3.768190700163768,19,20.84210526315789,2.339931846264224,3.768190700163768,19,20.84210526315789,2.339931846264224,3.768190700163768,19,20.84210526315789
202506,20230501,20250528,0.0334531074353621,1.3857262350936144,2.012850364283018,20,20.4,1.3857262350936144,2.012850364283018,20,20.4,1.3857262350936144,2.012850364283018,20,20.4
202507,20230601,20250628,0.0343766615241133,5.11227247922538,7.212732376111034,23,19.39130434782609,5.11227247922538,7.212732376111034,23,19.39130434782609,5.11227247922538,7.212732376111034,23,19.39130434782609
202508,20230701,20250728,0.0377876232671144,3.1831939481653397,2.742036106893479,21,20.38095238095238,3.1831939481653397,2.742036106893479,21,20.38095238095238,3.1831939481653397,2.742036106893479,21,20.38095238095238
202509,20230801,20250828,0.0368137156971359,7.6141372231006335,10.19279606869546,22,21.727272727272727,7.6141372231006335,10.19279606869546,22,21.727272727272727,7.6141372231006335,10.19279606869546,22,21.727272727272727
202510,20230901,20250928,0.0347497594969379,1.13162145926057,1.353791644839412,17,14.647058823529411,0.9195826947480736,1.1429136359385188,17,14.529411764705882,0.9195826947480736,1.1429136359385188,17,14.529411764705882
202511,20231001,20251028,0.035648530567968,1.5555921499413958,1.5753900741449154,20,16.7,1.5555921499413958,1.5753900741449154,20,16.7,1.5555921499413958,1.5753900741449154,20,16.7
202512,20231101,20251128,0.0337931808954501,3.3491992403517354,3.953021713532056,23,17.391304347826086,3.3491992403517354,3.953021713532056,23,17.391304347826086,3.3491992403517354,3.953021713532056,23,17.391304347826086
202601,20231201,20251231,0.0460251461233886,3.039596692411026,3.974011703434933,20,21.5,3.085444076448945,4.103249793055253,20,21.5,3.085444076448945,4.103249793055253,20,21.5
202602,20240101,20260128,0.035569881527978,0.7891610325311793,0.8354858777517603,14,19.142857142857142,0.7891610325311793,0.8354858777517603,14,19.142857142857142,0.7891610325311793,0.8354858777517603,14,19.142857142857142
202603,20240201,20260228,0.0338488946473398,-0.2024000964551521,-0.2007859260948047,22,13.545454545454543,-0.2024000964551521,-0.2007859260948047,22,13.545454545454543,-0.2024000964551521,-0.2007859260948047,22,13.545454545454543
202604,20240301,20260328,0.03171175588642986,2.9219794077153955,1.867775764999447,21,14.238095238095237,2.409584944480364,1.6692038734393224,21,14.285714285714286,2.245518327423398,1.5135478418289656,21,14.285714285714286
