test_month,train_start,train_end,base_alpha,base_sharpe,base_n_days,base_n_stocks,dyn_alpha,dyn_sharpe,dyn_n_days,dyn_n_stocks,frac_switch
202410,20220901,20240928,8.90712574903702,8.403082000039376,18,22.38888888888889,8.275116946895826,12.334123528633448,18,22.0,0.6627767465024675
202411,20221001,20241028,5.991375611449432,8.010821551044389,21,22.285714285714285,6.708020635918853,7.004345255384749,21,22.0,0.4945328465032493
202412,20221101,20241128,3.078655335264752,4.4500782641404175,22,21.045454545454547,3.151272149637249,5.232993155436572,22,21.136363636363637,0.4680103311502629
202501,20221201,20241231,7.713433736508869,4.317075919830499,18,4.833333333333333,6.065214826511956,5.26505030967849,18,4.277777777777778,0.8980542121246204
202502,20230101,20250128,2.3825953887343476,3.6029938136479305,18,20.22222222222222,2.956073260127854,3.2948783866679965,18,20.833333333333332,0.6310047589117357
202503,20230201,20250228,6.724354273367802,4.247640377412265,21,21.666666666666668,7.6176401373312626,5.294479650738531,21,21.38095238095238,0.6552639424510247
202504,20230301,20250328,4.150380715503159,3.609788077002346,20,16.9,3.5083708934150044,3.0050251134359627,20,17.05,0.6663183626515842
202505,20230401,20250428,2.3399318462642236,3.7681907001637684,19,20.842105263157894,2.225943277392156,3.5627340555266396,19,20.68421052631579,0.6366195692437953
202506,20230501,20250528,1.3857262350936144,2.012850364283018,20,20.4,1.2121546785328134,1.7159250740935883,20,21.45,0.6365725871206038
202507,20230601,20250628,5.11227247922538,7.212732376111034,23,19.391304347826086,5.096316885686551,5.912675593753393,23,18.82608695652174,0.6182830844860497
202508,20230701,20250728,3.1831939481653393,2.742036106893479,21,20.38095238095238,2.303522370703856,2.6831856357219706,21,19.0,0.6786622838359296
202509,20230801,20250828,7.6141372231006335,10.19279606869546,22,21.727272727272727,5.610844031202243,6.6352832148262495,22,21.045454545454547,0.7238789705962478
202510,20230901,20250928,1.13162145926057,1.353791644839412,17,14.647058823529411,0.441840666907953,0.521583196076417,17,15.529411764705882,0.7003801121565499
202511,20231001,20251028,1.5555921499413958,1.5753900741449154,20,16.7,1.197475130838297,1.928169211318859,20,16.15,0.5847772215642758
202512,20231101,20251128,3.3491992403517354,3.9530217135320562,23,17.391304347826086,2.4842968908345386,2.2070921372991577,23,17.217391304347824,0.6479963373444019
202601,20231201,20251231,3.039596692411026,3.9740117034349325,20,21.5,2.5575890024713397,2.702934678360222,20,21.5,0.650405374562126
202602,20240101,20260128,0.7891610325311793,0.8354858777517603,14,19.142857142857142,-1.0312965763911526,-0.9563786285968258,14,18.5,0.6616761387734329
202603,20240201,20260228,-0.2024000964551521,-0.20078592609480478,22,13.545454545454545,1.026416482568216,1.2537720087952473,22,13.863636363636363,0.6331416848867655
202604,20240301,20260328,3.0869128581706926,1.9420130518486491,20,14.0,3.134954094518329,2.376895240865737,20,15.7,0.6333393054154212
