test_month,train_start,train_end,base_alpha,base_sharpe,base_alpha_momentum,base_alpha_mixed,base_alpha_reversal,base_n_days,mh_alpha,mh_sharpe,mh_alpha_momentum,mh_alpha_mixed,mh_alpha_reversal,mh_n_days
202410,20220901,20240901,-1.9065490517615988,-1.3988177217655273,,-1.0769973238549742,-1.9553462122266945,18,3.968750396063684,2.4744063884023753,,-0.6029629514118493,4.237674710621069,18
202411,20221001,20241001,-0.6289478548991351,-1.580345010777278,-0.6289478548991351,,,21,-1.637819178541368,-4.733983114582532,-1.637819178541368,,,21
202412,20221101,20241101,2.1174720074133893,3.310770691863006,4.28023070646823,4.468591824656401,1.070512390883496,22,2.4268771015103856,3.8110792554670576,4.5000316998463665,4.534982596780458,1.4524147762334434,22
202501,20221201,20241201,4.697495218020546,5.186672525674021,3.1225222496169174,3.4057747384514827,5.086790532814176,18,2.9838440720601827,9.207702233021609,3.453914799367956,3.655535390301651,2.8063337376293127,18
202502,20230101,20250101,-1.8836119964288385,-5.402311785464187,,-1.77322544042485,-1.8901053232526028,18,-1.7465721732272614,-4.663054033216499,,-0.14173016627680585,-1.840974644224347,18
202503,20230201,20250201,-2.874834546289262,-6.761596100770239,-3.6049303993884614,-3.375925795944301,-1.9522633207001452,21,-3.258845814372354,-7.220909619304875,-4.075053747679305,-3.096786018063776,-2.387961398766537,21
202504,20230301,20250301,2.437378237012303,1.7913582807202149,-1.4511760659217872,-1.053523964578332,4.7691574847650555,21,2.755525151726146,2.2092641123367622,-1.2773065247387094,0.05850860356180243,5.031757702119823,21
202505,20230401,20250401,-1.1190568192679087,-3.3530978305971892,,0.45494195423843276,-1.3042331455627723,19,-1.496273279750565,-4.019831723972657,,-0.978839723910796,-1.557147815731714,19
202506,20230501,20250501,-2.435878602165878,-8.563055690957107,,-2.329619212378303,-2.565751189684024,20,-2.228724981607856,-10.972977154068586,,-2.030507291129754,-2.4709910477477584,20
202507,20230601,20250601,-1.4022940160369293,-5.288117062230094,,-1.535512785402176,-1.3312440057087973,23,-1.4841399217142295,-4.7737376123355135,,-1.609561536526246,-1.4172483938144873,23
202508,20230701,20250701,-0.5255899584762175,-1.557411438701918,-0.5825374920165226,-0.462947671581882,,21,0.1433667153807294,0.3372607564174315,0.1864949740018587,0.09592563089748737,,21
202509,20230801,20250801,-1.3228509089768137,-2.8321499207490652,-0.22071097247394184,-2.233955817253387,-2.2515839103953565,22,-0.6490675024623946,-1.2708867716344106,-0.6609266327657058,-0.3753339976980188,-1.0085761485258984,22
202510,20230901,20250901,-1.017863566152931,-2.5386147183318815,0.405888225293584,-1.6525354716047,-1.403883517510373,17,-0.23091202803648525,-0.6906166475790287,0.5411792716671874,-0.4284663497283633,-1.1733686688362763,17
202511,20231001,20251001,-0.04208351926323596,-0.12462575132081433,0.22830958941719737,0.7808396864278534,-0.31443394121863416,20,-0.12797930229964055,-0.36258082943554537,-0.19571734268188723,0.7821588268623785,-0.245799970302187,20
202512,20231101,20251101,0.0016109197364525686,0.006332445731489843,0.5402733651320549,0.4371316947370842,-0.26504738372887443,23,0.0825421555517068,0.23211983553928997,0.6210094225413096,0.5451633499306751,-0.18947117232062133,23
202601,20231201,20251201,-1.1970432337268253,-2.3614894033499967,-1.2283909760046197,-1.1238985017453056,,20,-1.2290875594672739,-1.9765989848879433,-1.3852445602640167,-0.8647212242748736,,20
202602,20240101,20260101,-1.6694357763846106,-3.2944145911973637,-1.2618584751241795,-2.060153154115537,-1.9467739517347338,14,-1.420263868535956,-3.0820942569811254,-0.699239187866087,-2.221471424745893,-1.8742193638025137,14
202603,20240201,20260201,0.8281595135982704,1.2731449196014413,0.9860028010029508,-0.7502733604485334,,22,1.0816672987284475,2.405437629550782,1.2525318353983819,-0.626978067970898,,22
202604,20240301,20260301,1.0380198400871619,2.267714750735516,,0.3551683085799065,1.658793959639212,21,1.004145209383952,2.078072624273781,,0.25990589610286036,1.6807264032758538,21
