test_month,n_pos,full,stop8,stop12,stop15
202410,403,18.57377862014154,17.638285756293506,18.24217456992119,18.48087776693636
202411,468,9.887263449570153,9.870493491881788,9.9178364754262,9.898619144888112
202412,463,-3.1417661329133875,-4.332312930724185,-3.770327717187946,-3.4009484258677274
202501,87,20.376217415809016,20.00407624298305,20.376217415809016,20.376217415809016
202502,364,7.445397298311968,7.383427748316752,7.444451075160362,7.445397298311968
202503,455,1.3771560647443206,-3.82835441823703,-2.32782765885071,-0.9008914028737132
202504,338,12.786298870325393,10.16730032341956,10.57990278743892,11.403700981739306
202505,396,4.821254308748424,4.390377354146027,4.656578196700524,4.667251036064192
202506,408,7.21265002770255,6.68654674243397,7.163850187540959,7.107995973901909
202507,446,13.013120495201054,12.9379535623265,12.948012636382582,13.01128669682992
202508,428,6.108588238967829,5.34162313453962,5.844418505200986,5.979999998959429
202509,478,9.891302933267465,9.007888916071554,9.779185352300596,9.887401619542473
202510,249,2.7571431444630723,2.5517508415133756,2.78751049508682,2.7714004143121653
202511,334,1.2432432726902132,-0.09052040321965889,1.2058784336031656,1.145492197806125
202512,400,11.531192126558457,10.964987917379808,11.539347213002372,11.531645186916451
202601,430,4.941679999967328,4.796591916319824,4.9010669664550806,4.931878483303242
202602,268,-2.268613537899602,-2.154857485252946,-2.6362901935182066,-2.606355008207862
202603,298,-0.23746974350674785,-3.704219545514404,-2.790838621184548,-1.2866063159386576
202604,299,6.934658240300735,7.069357123100892,7.152086052825912,7.009318748062896
