test_month,base,base_n,filt20,filt20_n,filt60,filt60_n
202410,18.18721464739101,403,16.96755860569739,404,17.531705732348616,398
202411,9.788305570590977,468,9.706449965707813,466,9.976658816763168,452
202412,-3.1472559707160057,463,-4.194754020862799,437,-3.5127954304266455,455
202501,20.376217415809016,87,12.469337261815847,106,16.79628188131711,166
202502,7.445397298311968,364,8.34466441380821,347,9.067734968185755,351
202503,1.3771560647443206,455,3.1324790352772873,450,1.0900651224234845,465
202504,12.773701942842793,338,9.745824713326819,277,13.520965171321649,287
202505,4.816513074485642,396,4.02144812827448,422,5.681902484449314,420
202506,7.21265002770255,408,7.693597526313232,368,8.250184450584532,407
202507,13.017575769924052,446,13.104639852380641,424,13.214253611838418,437
202508,6.108588238967829,428,8.535133220023202,394,6.549736677625439,403
202509,9.492666373007403,478,8.508891665909324,412,9.418083030631083,455
202510,2.7571431444630723,249,2.28686757421645,267,1.6798847257277278,305
202511,1.2432432726902132,334,0.550710566383297,344,0.13414991264915216,379
202512,11.457331827319347,400,11.325840010420066,369,11.111570492282622,444
202601,4.871380018147978,430,5.809100450387502,420,4.200891880591703,410
202602,-2.268613537899602,268,-0.6763891585559012,273,-1.8045442915417893,267
202603,-0.23746974350674785,298,0.667663779667305,324,-0.25391885057686103,337
202604,6.934658240300735,299,8.735682079104457,348,8.139617583604965,344
