segment,n,stock_r20_mean,stock_r20_win,sh000001_etf_mean,sh000001_alpha_mean,sh000001_alpha_winrate,sh000001_p,sh000300_etf_mean,sh000300_alpha_mean,sh000300_alpha_winrate,sh000300_p,sh000905_etf_mean,sh000905_alpha_mean,sh000905_alpha_winrate,sh000905_p,sh000852_etf_mean,sh000852_alpha_mean,sh000852_alpha_winrate,sh000852_p,sz399006_etf_mean,sz399006_alpha_mean,sz399006_alpha_winrate,sz399006_p,sz399303_etf_mean,sz399303_alpha_mean,sz399303_alpha_winrate,sz399303_p
ALL_OOS,920055,3.4634712717191216,56.851818641276886,2.288039196508706,1.1754320752104161,45.109259772513596,0.0,2.181369730595289,1.2821015411238332,46.57754156001543,0.0,4.42807340209873,-0.9646021303796073,37.77828499383189,0.0,3.530015503594305,-0.06654423187518302,39.924678415964266,5.2928781557445185e-06,5.739622364205864,-2.276151092486742,36.30489481607078,0.0,3.687478882131792,-0.22400761041267,39.07679432207857,5.282051946294704e-53
理想多 (BUY≥70+SELL≤30),98279,3.573131234345672,58.027655959055345,1.943049409419259,1.6300818249264124,47.285788418685584,0.0,1.9969485568604453,1.5761826774852263,48.67570895104753,1.3349676663024405e-286,5.838891929209575,-2.2657606948639044,31.750424810997263,0.0,3.643943274431475,-0.07081204008580358,39.40821538680695,0.09190746287566467,5.668182279493565,-2.0950510451478923,40.00549456140172,0.0,3.3932623641421014,0.1798688702035703,40.27818760874653,1.7092718590345e-05
buy_70_85,60328,4.72395982536195,66.10363347036203,2.1279701488503253,2.5959896765116253,53.805861291605886,0.0,1.5284936182957227,3.1954662070662274,58.08911284975468,0.0,5.85785323862132,-1.1338934132593688,37.30606020421695,4.467534824423719e-83,3.9675171355935173,0.7564426897684342,44.68406046943376,2.440891102088115e-39,4.758210692263253,-0.03425086690130298,48.83470362020952,0.5946287890031902,4.13843864538748,0.5855211799744704,43.84531229279936,2.721123760258148e-24
buy_85+,37951,1.743741040705712,45.18985006982688,1.6490940889165753,0.09464695178913685,36.92129324655477,0.10515231559983576,2.741617986749844,-0.9978769460441319,33.711891649758904,4.6692379122624916e-61,5.80875048697639,-4.065009446270677,22.919027166609578,0.0,3.1295809678734487,-1.3858399271677369,31.021580459012938,1.052934419813849e-124,7.1146992596635235,-5.370958218957813,25.97033016257806,0.0,2.2087087372292076,-0.4649676965234951,34.60778372111407,9.38615993486232e-16
中性区,219977,4.527785107826691,60.87590975420157,2.7857969770749906,1.741988130751701,47.5399700877819,0.0,2.489307119412829,2.0384779884138626,49.72247098560304,0.0,4.721925098361536,-0.19413999053484532,40.58106074725994,1.9261343385667845e-11,4.01100287200233,0.5167822358243611,41.90210794764907,3.973251198062935e-73,6.077785503471698,-1.5500003956450068,37.508012201275584,0.0,4.256421461097526,0.27136364672916524,40.561967842092585,2.185512453207637e-21
sell_top20,184011,2.109080704635745,46.730358511175965,1.3473781393867588,0.7617025652489866,42.457244403867165,2.80924681150491e-76,1.1653822295848297,0.9436984750509158,43.33382243452837,1.949200223094375e-114,2.401968039416966,-0.29288733478122014,40.75462879936526,1.3746067609454426e-12,2.1357185596681094,-0.026637855032363673,40.43453923950199,0.5157539508852936,3.5346047697441034,-1.4255240651083576,37.98142502350403,2.9427788929106884e-243,2.4394449937591216,-0.3303642891233757,39.3052589247382,7.91704907162817e-16
矛盾 (双高),9306,3.0653162928502073,45.84139264990329,1.966681735147872,1.0986345577023358,39.15753277455405,6.241424578097244e-05,2.535459730048674,0.5298565628015334,38.59875349237051,0.05552413743995817,5.56025853675308,-2.4949422439028734,32.30174081237911,7.018536954779812e-20,3.3875250122445015,-0.3222087193942938,36.05200945626478,0.2364721269331405,7.187498520344419,-4.122182227494212,30.16333548248442,6.491928547436436e-48,2.9221433032406328,0.14317298960957384,36.94390715667311,0.5982341292933279
