industry,etf,n,stock_r20,etf_r20,alpha,net_alpha,win_pct,p_value
IT设备,sh000300,147,4.399811889404667,1.3292521939021773,3.0705596955024905,2.7705596955024907,68.02721088435374,0.0003127354359554357
IT设备,sh000905,147,4.399811889404667,6.202751676488923,-1.8029397870842552,-2.1029397870842557,32.6530612244898,0.041218153624177
IT设备,sz399006,147,4.399811889404667,3.8041521562347063,0.5956597331699611,0.29565973316996125,53.74149659863946,0.5239572223881029
专用机械,sh000300,990,6.223047557853526,1.25630491930498,4.966742638548546,4.666742638548546,70.0,7.97879995587663e-33
专用机械,sh000905,990,6.223047557853526,5.93832149889867,0.2847260589548557,-0.01527394104514438,42.22222222222222,0.4805621545294526
专用机械,sz399006,990,6.223047557853526,3.3330624268157583,2.8899851310377667,2.5899851310377673,60.70707070707071,1.2868975952002385e-11
中成药,sh000300,252,3.389727281308883,0.9807384249137033,2.4089888563951796,2.1089888563951797,63.49206349206349,1.8873885651197381e-06
中成药,sh000905,252,3.389727281308883,6.625266098748639,-3.2355388174397577,-3.535538817439757,34.523809523809526,5.666574159683074e-07
中成药,sz399006,252,3.389727281308883,2.1497318551729343,1.2399954261359492,0.9399954261359491,55.952380952380956,0.01609251013910585
乳制品,sh000300,166,0.4247021540435946,2.088620594987496,-1.6639184409439016,-1.9639184409439014,36.74698795180723,0.01973811061013443
乳制品,sh000905,166,0.4247021540435946,3.817888093990587,-3.3931859399469926,-3.6931859399469933,35.54216867469879,1.3934672391683597e-05
乳制品,sz399006,166,0.4247021540435946,4.782364655891484,-4.357662501847888,-4.657662501847889,36.144578313253014,1.4646540832717755e-06
互联网,sh000300,127,11.538684034608329,1.238771059764661,10.299912974843664,9.999912974843664,80.31496062992126,5.310672444885126e-12
互联网,sh000905,127,11.538684034608329,8.689742384984557,2.8489416496237685,2.5489416496237673,51.181102362204726,0.023645766177954636
互联网,sz399006,127,11.538684034608329,3.2942164738630995,8.24446756074523,7.9444675607452275,71.65354330708661,4.020464435541805e-08
仓储物流,sh000300,198,3.121719004973544,1.4392482746501545,1.6824707303233897,1.3824707303233896,60.60606060606061,0.0066079103281778935
仓储物流,sh000905,198,3.121719004973544,7.0549532665159775,-3.9332342615424327,-4.233234261542433,31.818181818181817,4.278280923061019e-09
仓储物流,sz399006,198,3.121719004973544,3.637009144613024,-0.5152901396394796,-0.8152901396394797,50.0,0.45869812180066477
供气供热,sh000300,202,5.574026271148188,1.0810441564856985,4.492982114662489,4.192982114662489,70.79207920792079,2.8825677568751514e-09
供气供热,sh000905,202,5.574026271148188,6.599687179605032,-1.0256609084568449,-1.3256609084568451,35.64356435643564,0.20388215739952284
供气供热,sz399006,202,5.574026271148188,3.1381700382873423,2.4358562328608455,2.1358562328608452,65.84158415841584,0.0023561627753329547
元器件,sh000300,616,4.910873158157776,1.1658008761443208,3.7450722820134565,3.4450722820134563,64.12337662337663,4.288678666649987e-21
元器件,sh000905,616,4.910873158157776,5.879726076062705,-0.9688529179049293,-1.2688529179049297,36.36363636363637,0.008004480240933158
元器件,sz399006,616,4.910873158157776,3.159727935991148,1.7511452221666293,1.451145222166629,53.57142857142857,1.032943383511861e-05
其他建材,sh000300,118,5.1241039040848,1.3941866637471434,3.7299172403376573,3.4299172403376574,69.49152542372882,3.250301967989991e-06
其他建材,sh000905,118,5.1241039040848,5.221361732635118,-0.09725782855031871,-0.39725782855031844,49.152542372881356,0.9090868817197844
其他建材,sz399006,118,5.1241039040848,3.3626298343766514,1.7614740697081492,1.461474069708149,61.86440677966102,0.05956929220741459
农业综合,sh000300,203,4.007590696407479,1.6803772841131062,2.327213412294374,2.027213412294374,60.591133004926114,0.0004048167018182391
农业综合,sh000905,203,4.007590696407479,6.407643786610924,-2.400053090203444,-2.7000530902034443,32.01970443349754,0.00017051115829076315
