ts_code,trade_date,industry,total_mv,pe,pe_ttm,buy_score,sell_score,quadrant,v7c_recommend,r10_pred,r20_pred,sell_10_v6_prob,sell_20_v6_prob,mfk_pyramid_top_heavy,pyr_velocity_20_60,f1_neg1,f2_pos1,main_net_5d
000001.SZ,20260420,银行,21268886.345,4.7787,4.9327,63.0211622204539,0.0,中性区,False,0.931140022358142,0.7546765657148886,0.1380830180229764,0.00720353570147058,0.9021008489404105,-0.06134534091171939,-0.037143799999999984,-0.0,-0.11647900000000024
000002.SZ,20260420,全国地产,5750601.965,,,47.93440567257239,3.7433633678008844,中性区,False,0.8229632265279965,-3.5508019001862006,0.21500420404555057,0.06256046473287605,0.9738726605008142,-0.1080589406312088,-0.0455457,-0.1332568,0.03723579999999989
000006.SZ,20260420,区域地产,1256845.3878,,,42.46014239864606,62.982682169411035,中性区,False,0.8229632265279965,-4.99600740450275,0.48323216147670267,0.6537547026824703,0.6593162532920547,-0.026892420602114164,-0.0,-0.10509920000000007,0.1043763000000001
000007.SZ,20260420,其他商业,406037.1076,71.9648,71.6576,52.44050784811846,67.96717164612727,中性区,False,0.9359090741000039,-2.7031370698673807,0.5832246216626136,0.5948261092000067,0.5196512476752236,0.013798525897094516,-0.0,0.010368500000000001,-0.025845000000000007
000008.SZ,20260420,运输设备,874673.6139,,,50.783782199012336,25.206296556235355,中性区,False,0.8398218787459816,-2.84960645346234,0.42078553796099394,0.12814069290418506,0.6065783838955585,0.02941328889554151,-0.029592799999999978,-0.0,-0.022723599999999986
000009.SZ,20260420,电气设备,2643694.3141,153.1465,375.1077,52.39749725394887,9.728327991750067,中性区,False,0.8398218787459816,-2.423585678959095,0.2745960882336985,0.07804887371191621,0.4297426741852238,-0.08750560887514713,-0.029890600000000017,0.0,-0.07710730000000002
000010.SZ,20260420,建筑工程,411575.5205,233.5663,91.161,59.17308782844106,51.429822399453485,中性区,False,1.1594432833668245,-1.6024909005489179,0.5276551150657572,0.39137015472173375,0.4375470851649395,-0.05375844097740157,-0.0741475,0.01570810000000001,-0.06378090000000004
000011.SZ,20260420,房产服务,535785.2037,,,62.333024060987306,0.0,中性区,False,0.8398218787459816,0.8974500571370575,0.1610538167866047,0.04814269439853082,0.244250466856136,-0.058934965880806545,0.0023030999999999963,-0.0015651999999999893,-0.0028949999999999896
000012.SZ,20260420,玻璃,1434013.214,53.7542,,59.520233980895995,0.0,中性区,False,0.9359090741000039,-0.6590376281654955,0.1321622069966745,0.019734474992057938,0.3759921838331467,-0.04274539375777592,-0.003916900000000001,0.0038433000000000017,-0.016866900000000004
000014.SZ,20260420,全国地产,321195.3392,195.3005,,49.87359744967489,34.412104657430234,中性区,False,0.8398218787459816,-3.0898952272874274,0.42592595527002275,0.2615577807842441,0.3026817823089738,-0.023155360095762967,-0.013296199999999972,0.010972800000000029,-0.014454099999999963
000016.SZ,20260420,家用电器,1218420.3764,,,65.13694730122522,46.596128209355186,中性区,False,0.8229632265279965,2.0891592049082996,0.5056264609062346,0.3458009649676349,0.517852596416278,-0.09286914468322349,-0.0398421000000001,-0.050258100000000014,0.02637380000000003
000017.SZ,20260420,服饰,566510.0149,336.3026,140.3629,60.6664167419197,4.745920385973981,中性区,False,0.8398218787459816,0.23480698707577574,0.21960845721785793,0.07196727739085111,0.23655035103024538,-0.06724118966710005,-0.0068028,0.006400900000000001,-0.013409400000000016
000019.SZ,20260420,农业综合,822910.1714,25.2962,25.377,59.05720390262412,46.4075303397303,中性区,False,0.931140022358142,-0.8213932614542337,0.4498198058953493,0.4136227070297914,0.342879616706714,-0.004229053964462548,-0.023368500000000007,-0.0174054,-0.005963100000000013
000020.SZ,20260420,元器件,428706.0977,116.6919,97.9627,50.767218841029845,41.730681235822075,中性区,False,0.9748396741305451,-3.2627486522349094,0.5299824267345642,0.2409952809207143,0.2264171820912312,0.0028294476610695174,-0.006574400000000001,0.0051132999999999994,-0.025532700000000044
000021.SZ,20260420,元器件,4627027.445,49.7345,45.1551,31.91471590055042,69.82027452018409,中性区,False,0.8229632265279965,-9.599794934083608,0.5984053930697215,0.605175588386315,0.7059192961655173,-0.12013622481927,-0.3074397000000002,-0.15545310000000018,-0.1883306000000004
000025.SZ,20260420,综合类,831511.4993,60.8587,54.6524,56.501908188156136,0.0,中性区,False,0.8398218787459816,-1.3400211923283787,0.1541946312552731,0.03734558249654843,0.3595463173953369,-0.0650831231353809,-0.0,0.0,-0.020812300000000016
