ts_code,trade_date,industry,total_mv,pe,pe_ttm,buy_score,sell_score,quadrant,v7c_recommend,r10_pred,r20_pred,sell_10_v6_prob,sell_20_v6_prob,mfk_pyramid_top_heavy,pyr_velocity_20_60,f1_neg1,f2_pos1,main_net_5d
000026.SZ,20260420,服饰,673568.2516,30.5681,45.5898,57.548900735545516,61.95133080055628,中性区,False,0.8229632265279965,-0.9278481096059497,0.5485436195887029,0.5398127800263596,0.5788562745472848,0.11615183164482035,-0.012278600000000008,-0.1465692,0.0911111000000001
000027.SZ,20260420,火力发电,3282599.042,16.3709,17.8002,60.452707740180784,3.44720402111499,中性区,False,0.931140022358142,-0.26654093564170356,0.22136644825337987,0.022564893409066186,0.7431697809937317,0.04601265972198498,-0.0,0.0028531000000000042,-0.022778300000000008
000028.SZ,20260420,医药商业,1473784.3239,22.9385,27.5953,51.47824609004857,0.0,中性区,False,0.9359090741000039,-2.957174173997832,0.15443590580832234,0.02637250700760433,0.3312039988609934,-0.03908827353153199,-0.013152600000000004,-0.015126599999999997,-0.019956600000000012
000029.SZ,20260420,区域地产,2094136.2,,,48.61510467356467,34.34294882512802,中性区,False,0.8398218787459816,-3.4221373201805236,0.4609862724015553,0.21609687709997571,0.32320830592159094,-0.07913153977022691,-0.0166272,-0.0027864999999999626,-0.0212415
000030.SZ,20260420,汽车配件,968253.5057,14.3193,14.4065,58.763471855442155,31.539492321032412,中性区,False,0.931140022358142,-0.9381811234137825,0.43131669300445913,0.21106580547404438,0.39094661603480385,0.02929517492624717,-0.0,-0.0264701,0.02406520000000001
000031.SZ,20260420,全国地产,1388765.5218,,,52.181549349715354,13.603406456163611,中性区,False,0.8398218787459816,-2.480595925676744,0.2918609781377002,0.11508120582593331,0.4669776218876247,-0.12528357252506417,-0.0029852999999999985,-0.004821,0.0038789999999999983
000032.SZ,20260420,建筑工程,2470509.497,74.9261,156.8397,40.82178767989568,61.53997265695682,中性区,False,0.8229632265279965,-5.428533050252852,0.5570048896244896,0.5201630139798552,0.5495722971342987,-0.03529864542800554,-0.04918509999999987,-0.06470109999999983,0.005437599999999848
000034.SZ,20260420,软件服务,2877138.1203,38.2245,54.368,40.94503582889743,58.09548612812651,中性区,False,0.8229632265279965,-5.395995538916389,0.573610309267846,0.43518543559551925,0.648789991951643,-0.060110282566458006,-0.03204410000000005,-0.14027500000000004,0.10973759999999991
000035.SZ,20260420,环境保护,1502072.6117,53.6494,65.3446,47.04380689696914,36.37610101909101,中性区,False,0.8229632265279965,-3.785919976945458,0.43048696200053,0.28563325028951203,0.6176018238380607,-0.11245107020157763,0.0,-0.09739780000000003,0.09604360000000006
000036.SZ,20260420,全国地产,883001.978,217.9607,227.933,47.787516485460586,36.997475665238746,中性区,False,0.9359090741000039,-3.93152678960906,0.38334209580122713,0.3547949754300745,0.5594277411231648,-0.051878409857172514,-0.01835439999999998,0.0073566999999999955,-0.04041469999999999
000037.SZ,20260420,火力发电,571418.941,260.8167,120.0617,48.88626486494749,55.496845351243266,中性区,False,0.8618938265585376,-3.4173743578953055,0.5368799067221426,0.4433206149894057,0.32389253357898556,0.033615126085755065,-0.006072899999999991,-0.12347330000000006,0.09864630000000002
000039.SZ,20260420,运输设备,5290062.4977,17.7976,19.521,52.57830951055251,33.26238889664148,中性区,False,0.931140022358142,-2.652319017454384,0.4143485891334132,0.2587467649932938,0.4897385619050254,-0.10682390759276161,-0.1954516,0.07030240000000001,-0.30883649999999996
000042.SZ,20260420,全国地产,536518.7292,,,56.8275523844506,2.393638191249613,中性区,False,0.9359090741000039,-1.5449573122756959,0.16530132212458504,0.08638330050699412,0.2610918664120021,-0.04376043686518466,-0.0,0.004297399999999995,-0.009364499999999998
000045.SZ,20260420,元器件,679752.3214,76.0595,97.2259,52.20620372528494,29.496445811839084,中性区,False,0.8398218787459816,-2.4740871705263734,0.4549368039464922,0.1500926913410639,0.506005711351021,-0.0015536211304925107,-0.010879900000000003,0.010883799999999997,-0.05949009999999998
000048.SZ,20260420,农业综合,1021323.6135,14.3084,24.9189,58.53741756304122,44.74590180070342,中性区,False,0.8618938265585376,-0.7123230686741976,0.4122057755740508,0.43695940085043894,0.528295003044642,0.06818350827409181,-0.07632909999999998,0.007905299999999987,-0.10079669999999999
000049.SZ,20260420,电气设备,1026600.2472,24.8564,24.591,53.30784734481844,13.065798215119841,中性区,False,0.931140022358142,-2.459721029208178,0.3027477966620399,0.09311959043123774,0.31174265291145326,-0.002409541577553742,-0.01922940000000003,0.04239999999999999,-0.07421379999999995
000050.SZ,20260420,元器件,2533937.8385,,216.2797,56.49806166897311,7.816782386452781,中性区,False,0.8229632265279965,-1.289996717136408,0.2612000575394454,0.0659616860574514,0.4821981500689268,-0.018872053403226174,0.0,-0.0,0.010806999999999997
000055.SZ,20260420,其他建材,462839.7918,31.961,421.0373,67.02022811618438,1.401217156987068,中性区,False,0.8398218787459816,2.7610823894834153,0.1968146058838448,0.04103761639114956,0.2974292270865893,-0.12176098657027126,-0.0078683,0.0026775999999999983,-0.0170471
000056.SZ,20260420,其他商业,243600.8133,,,61.103327695247216,46.85095769048907,中性区,False,0.8398218787459816,0.40852278211879534,0.4855754063320549,0.3750723755414976,0.6219485655226084,0.05292156382942653,-0.01389199999999995,-0.05111729999999999,0.028878899999999978
000058.SZ,20260420,商品城,1196727.0532,318.6067,129.6264,61.83680065852631,0.0,中性区,False,0.8398218787459816,0.7001516323185639,0.1703566031218319,0.02492615366334931,0.3166761944101667,-0.0404969875135015,-0.0029100000000000102,0.0007541000000000144,-0.012592000000000063
000059.SZ,20260420,石油加工,974060.505,,,62.39831555014952,10.713665932405457,中性区,False,0.8398218787459816,0.9234099532279523,0.30698121293841535,0.052004852450570155,0.4000491075085953,-0.03154722778521224,-0.0,0.0,0.0010975000000000216
000060.SZ,20260420,铅锌,3677290.7952,33.9902,32.738,59.23471789191538,24.164972406474014,中性区,False,0.8229632265279965,-0.2575672082332921,0.35029538335178895,0.2016000949994723,0.7235709723710428,-0.15043207882777465,-0.0,-0.0766263999999999,0.049423999999999906
000061.SZ,20260420,农业综合,1913502.5949,49.8082,57.1639,64.31517484493567,5.668875632865227,中性区,False,0.8398218787459816,1.6855532088349245,0.2378576541707731,0.06288054766990551,0.41047501355508864,0.05140351391364956,-0.0,-0.0025586000000000155,-0.011619700000000009
000062.SZ,20260420,元器件,2656609.6779,124.7434,86.3107,31.91471590055042,92.58503341541746,中性区,False,0.8229632265279965,-8.924552432701976,0.7436274044910481,0.7928430615244766,0.6689431625290085,0.06988141938305614,-0.12750089999999997,-0.3912575000000002,0.12710319999999992
000063.SZ,20260420,通信设备,18894962.8037,22.4278,32.3523,41.45217253229661,25.863678928312574,中性区,False,0.8229632265279965,-5.262111449219006,0.38998254130497767,0.17715003405737942,0.8471297996739254,-0.037171502886063745,-0.41362760000000093,-0.22239560000000103,-0.5835656
000065.SZ,20260420,建筑工程,1369231.147,13.0464,17.6302,50.84873225676439,42.0426474458045,中性区,False,0.931140022358142,-3.1089274124544466,0.4049195336375226,0.4041501652353664,0.6553523529854374,0.05545805532909398,-0.08786389999999997,0.13924280000000006,-0.2261884000000001
000066.SZ,20260420,IT设备,5558051.8286,,,39.746388352203574,47.91665526053063,中性区,False,0.8229632265279965,-5.7124384727635675,0.5359101983890076,0.32751357533398934,0.6329830982041968,-0.17195597872883273,-0.0,0.031187800000000716,-0.09537360000000047
000068.SZ,20260420,环境保护,353341.6839,269.4637,,64.36859462663874,4.262865294754837,中性区,False,0.8398218787459816,1.706792914040067,0.22954684881559956,0.05203621064718074,0.2501925603135833,-0.03646309320840457,-0.008122100000000004,-0.0022925000000000007,-0.007200900000000023
000069.SZ,20260420,全国地产,2186270.1904,,,55.040541554755244,0.6602174540476491,中性区,False,0.8398218787459816,-1.7258219835462125,0.185796271410291,0.05269336151515565,0.780600716627685,-0.03343320303691688,-0.0033285000000000133,-0.012635100000000003,0.00044229999999995584
000070.SZ,20260420,通信设备,1098420.6072,,,31.91471590055042,93.73204677549867,中性区,False,0.8229632265279965,-10.049283550140455,0.7470704168605083,0.8079807451866977,0.6544225524873375,-0.03170319914176578,-1.0992707,-1.0646648000000003,-0.034605900000000134
000078.SZ,20260420,医药商业,1105071.7679,,,31.91471590055042,85.5696700554707,中性区,False,0.8229632265279965,-10.348131494185965,0.6359036969534079,0.8273674374446193,0.4246828859820618,0.03731378027702248,-0.15130110000000002,-0.1202722,-0.031028900000000036
000088.SZ,20260420,港口,2381363.3725,17.6485,16.8151,66.31632370143899,0.0,中性区,False,1.0440858699301494,1.5498411536436656,0.10413437824037888,0.019939880179157918,0.4638513293592093,-0.06692141440391869,0.0,-0.0,-0.008964199999999986
000089.SZ,20260420,机场,1466300.1989,33.0964,25.0962,60.79084384819035,0.0,中性区,False,1.0440858699301494,-0.6470896360079978,0.10259317271135762,0.011533844593911652,0.29903613107607147,-0.08336645029474499,0.0,-0.0,0.007916199999999998
000090.SZ,20260420,建筑工程,721258.5375,11.6225,23.1017,61.61252610346908,0.0,中性区,False,0.9479986745761271,0.11773357814907286,0.11353021220119237,0.015037244385077855,0.5331344017140645,-0.018065426909412707,0.0,-0.004012900000000026,-0.0037218999999999907
000096.SZ,20260420,石油贸易,595056.0,61.3732,98.0057,59.007387888779334,3.271856774566463,中性区,False,0.8398218787459816,-0.42482288493283404,0.21926228129479755,0.03632297129778515,0.401012906588965,-0.08061070115852137,-0.009388100000000028,0.0,-0.038193900000000044
000099.SZ,20260420,空运,1585674.16,52.2928,44.9216,62.83685304835471,19.29076207881072,中性区,False,0.8229632265279965,1.1746417299669845,0.36043899325562756,0.11466352547412802,0.40429876631499906,-0.13600676252755622,-0.023631999999999972,-0.06164089999999989,0.057301200000000274
000100.SZ,20260420,元器件,10462833.8108,66.8931,33.9088,51.79485334064335,3.9308059472342824,中性区,False,0.8229632265279965,-2.531643715815466,0.22716967136681138,0.04351208646849974,1.082531882678047,0.0039832330390929815,0.0,-0.10904369999999997,-0.14506360000000018
000151.SZ,20260420,商贸代理,457812.0779,,,64.53353333060937,19.328903181966204,中性区,False,0.8398218787459816,1.7723725427387866,0.40389864153534005,0.06019438242112226,0.2557543020279133,-0.05452853640805855,0.010131300000000027,0.0040849999999999715,0.0038153999999999758
000153.SZ,20260420,化学制药,312268.6708,19.4155,27.4362,63.87273470808988,14.665005078398384,中性区,False,0.9359090741000039,1.0715166609667937,0.32777087169380237,0.08573163971283908,0.4155342945465298,0.015615458310962116,0.012539100000000001,-0.01221840000000002,0.019781800000000026
000155.SZ,20260420,新型电力,2534789.1336,34.8717,57.0166,34.81780824833573,78.81463206753516,中性区,False,0.8229632265279965,-7.013583620184678,0.629929012929352,0.7172416387589025,0.6441277862950403,0.021230762733745134,-0.5461960000000001,-0.06376869999999994,-0.6411306
000156.SZ,20260420,影视音像,1591668.9677,29.8065,29.9582,61.97198577745993,0.0,中性区,False,0.8398218787459816,0.7539012356065717,0.1602762368901812,0.03255951502436703,0.38150607121210967,-0.13450014172465224,-0.0045146000000000006,-0.010257000000000004,0.003083000000000024
000157.SZ,20260420,工程机械,7602062.4724,21.5945,17.6721,58.13173928951579,11.882929516998601,中性区,False,0.931140022358142,-1.1862135558080762,0.28914530850799514,0.09236980454825156,0.6677940763954834,-0.02602656370718881,-0.4047824000000001,0.0,-0.5226136
000158.SZ,20260420,软件服务,3302742.1456,,,40.08150360790719,21.735531752199996,中性区,False,0.8229632265279965,-5.623968045257813,0.3741536478696232,0.1344521286652506,0.4045944195890197,-0.09807860323874579,-0.0,-0.049412099999999994,-0.037015299999999536
000159.SZ,20260420,石油贸易,345132.543,,103.3264,64.06344137086198,6.977779215760433,中性区,False,0.9359090741000039,1.1473416300849784,0.26373335058912517,0.048863791845058444,0.3696551821314623,-0.1358546395518172,-0.02845300000000001,-0.005180499999999988,-0.02723419999999998
000166.SZ,20260420,证券,12845491.5593,24.6523,13.699,61.49613357415164,0.0,中性区,False,0.931140022358142,0.14832517594510863,0.13450288926681944,0.01597587085865279,0.9594123829731184,0.003647494824424169,0.0,-0.0,-0.011894799999999968
000301.SZ,20260420,化纤,8131813.2899,,,56.60951589964505,52.98589072249388,中性区,False,0.8229632265279965,-1.260572800239017,0.5162413305925336,0.4294798535646977,0.4244927647748573,-0.05973346440396482,0.0,-0.05568779999999996,0.062243899999999984
000333.SZ,20260420,家用电器,58022245.9545,15.0562,12.9741,57.8851919370026,0.9175378761041366,中性区,False,0.931140022358142,-1.2513020568715592,0.19101045451324963,0.03096006493036307,0.8829577084204534,-0.03743223350838776,0.0,-0.4505728,0.3991748000000001
000338.SZ,20260420,汽车配件,21191429.7119,18.5836,17.8382,49.16111737367239,67.56790693803566,中性区,False,0.931140022358142,-3.5544577415907352,0.5877237966789194,0.5812002603136791,0.8160340823824179,-0.057227940836257596,-0.39132630000000024,-0.4866543000000002,-0.04872520000000022
000400.SZ,20260420,电气设备,3207641.4621,28.7185,28.5462,42.12287863455752,33.051213680723436,中性区,False,0.8229632265279965,-5.085045038222124,0.46505685428232413,0.191306432522719,0.63049435482303,-0.03591264868197619,-0.15463720000000003,-0.09667690000000007,-0.14942370000000008
000401.SZ,20260420,水泥,1297209.7877,,,62.303263992755845,0.0,中性区,False,0.9359090741000039,0.44749510454998126,0.17079268534485217,0.021556169530540605,0.5264746321633823,-0.03128270192740079,-0.014376600000000008,-0.0009840999999999997,-0.0027447000000000114
000402.SZ,20260420,全国地产,842878.2338,,,53.06698945304443,34.11338065764684,中性区,False,0.8229632265279965,-2.195799782141581,0.37961377368074334,0.3156792726672904,0.5236492344430472,-0.013893835538005161,0.009772000000000024,-0.0,0.03313080000000006
000403.SZ,20260420,生物制药,1362869.8515,18.2857,24.347,59.51540177686801,0.0,中性区,False,0.9479986745761271,-0.7160830541075108,0.14482356416641193,0.01712512613603596,0.5008707819602846,-0.034410448868742005,-0.005531700000000008,-0.018681299999999987,0.007759799999999961
000404.SZ,20260420,家用电器,493461.1491,10.9607,10.8658,68.08730393641588,13.506152204186161,中性区,False,0.931140022358142,2.7689745119813707,0.2565558654864486,0.1583227505541281,0.7090042858319625,0.03502143822658538,0.0,-0.06439420000000003,0.05266710000000001
000407.SZ,20260420,供气供热,483166.4761,41.2112,37.8683,57.501177085475945,2.0052636018955523,中性区,False,0.8398218787459816,-1.0236923003262623,0.20406316322274662,0.040765163036862034,0.48669517854341343,-0.03645462161635793,-0.007262199999999988,-0.003563699999999998,-0.010933499999999962
000408.SZ,20260420,农药化肥,14896731.6428,57.7396,43.0188,47.13149951565744,56.74158142049741,中性区,False,0.8229632265279965,-3.7627691256117473,0.5283090351659093,0.4777985814240873,0.7362746551042764,-0.009998317519583466,0.024662599999999986,-0.2250033000000002,0.2762663000000001
000409.SZ,20260420,软件服务,815622.5775,87.9439,130.2607,54.818792610745575,9.799131962399692,中性区,False,0.8398218787459816,-1.7843637047647656,0.2634050815087258,0.09330036925075592,0.232296654543101,-0.08288094391151518,-0.0061121000000000005,-0.019620600000000033,0.0033414999999998984
000410.SZ,20260420,机床制造,2172239.8674,3076.6998,165.237,61.438971785033836,7.90479124500995,中性区,False,0.8398218787459816,0.5419748722179579,0.27271733797176173,0.05271086549325303,0.5671743272278038,-0.03517545487714302,-0.020328400000000003,-0.006980800000000019,-0.039303599999999994
000411.SZ,20260420,医药商业,737845.3322,14.0402,14.9656,59.076571165350195,0.0,中性区,False,0.9479986745761271,-0.8905621052469953,0.15969361341453234,0.018663253910169753,0.41553919464268557,-0.11632953024680215,-0.014545099999999998,-0.005549100000000005,-0.018119299999999984
000415.SZ,20260420,多元金融,2813957.1833,31.1299,,47.436029012813904,43.73304974339246,中性区,False,0.8229632265279965,-3.6823733383624404,0.38446947601139614,0.459813110666993,0.6277641085498052,-0.062165748194007664,0.0,-0.066484,0.04377370000000001
000417.SZ,20260420,百货,662121.6858,34.7435,42.9725,61.96393348231031,7.866082991458246,中性区,False,0.8398218787459816,0.7506996430550841,0.27439299589749894,0.021721293071737032,0.373847041605147,-0.11930348624776216,-0.0284241,-0.0034558000000000284,-0.022302400000000024
000419.SZ,20260420,百货,356046.639,23.6958,27.7101,71.65791779138439,10.418209780680469,理想多,False,0.8398218787459816,4.605027804342939,0.3050185173681656,0.029420799800269955,0.20093331819302104,-0.07106423478713667,0.0027281000000000024,-0.005228900000000007,0.008543400000000005
000420.SZ,20260420,化纤,1202386.6197,433.8736,,54.227540542251525,65.17646166321698,中性区,False,0.8229632265279965,-1.8894142945909083,0.6188977782794323,0.4933889837961182,0.5838608525097735,-0.03739320200268803,-0.0,-0.10744669999999999,0.05096510000000021
000421.SZ,20260420,供气供热,424493.2274,92.4366,24.0862,64.30212108081487,0.0,中性区,False,0.9479986745761271,1.1871165411417597,0.14849153768110843,0.018699708306906877,0.25907455711456767,-0.10793558841822637,-0.007981000000000004,-0.0,0.0002819999999999163
000422.SZ,20260420,农药化肥,1803227.6187,27.6338,25.5514,62.212615636329,41.990564618493366,中性区,False,0.931140022358142,0.43319844386682654,0.48327827377381766,0.30410410208759675,0.5475093989152591,-0.02218618144821305,-0.09260490000000002,-0.048433899999999995,-0.14567000000000008
000423.SZ,20260420,中成药,3253370.9148,20.8951,19.3787,52.856366049383226,3.6271403758760763,中性区,False,0.931140022358142,-2.578912091203076,0.21980944840289873,0.05470723240297796,0.4385908437861048,-0.09644725136002574,-0.04748830000000006,0.0014662999999999645,-0.035572700000000054
000425.SZ,20260420,工程机械,12869504.8678,21.5349,19.3692,53.19170131956224,30.362639584407972,中性区,False,0.931140022358142,-2.490383579875815,0.40134063103868767,0.23114732236733013,0.7627031853110958,0.04266472876236371,-0.011361700000000169,0.042515400000000036,-0.39920799999999973
000426.SZ,20260420,铅锌,11305472.7502,73.8988,70.9211,40.919321222687614,63.78711589966689,中性区,False,0.8229632265279965,-5.402784194955781,0.5503919585060819,0.5694117006918837,0.8670098468084741,-0.22894020324569042,-0.1827391,-0.33883290000000016,0.538049
000428.SZ,20260420,酒店餐饮,360699.804,,,65.39289341126704,19.673001661034267,中性区,False,0.9359090741000039,1.6759317613500273,0.3905304984275048,0.08235766057288141,0.36699157561616763,-0.03261695932181552,0.008153099999999996,0.0171194,-0.01564170000000003
000429.SZ,20260420,路桥,2465060.4226,15.7802,13.6901,66.81161435856498,0.0,中性区,False,1.0440858699301494,1.7467687189169552,0.12139714650683726,0.026068894630917848,0.1606544824746775,0.01731022861179629,-9.859999999999292e-05,0.0018287999999999902,0.0008231999999999602
000498.SZ,20260420,建筑工程,970275.6675,4.178,4.2637,61.35311047205434,0.0,中性区,False,0.931140022358142,0.09145919055122438,0.16563040347419564,0.02227545808211138,0.519748210003137,0.028024270308947552,-0.044060100000000005,-0.011406999999999988,-0.030810799999999985
000501.SZ,20260420,百货,795907.4766,36.8493,36.2286,64.24213727591214,0.0,中性区,False,0.8398218787459816,1.6565134713911718,0.12915829343910834,0.012128159676439503,0.4922039661582471,-0.17867158749811796,-0.007312999999999999,0.0,-0.018578900000000002
000503.SZ,20260420,软件服务,974356.2096,,,58.50134890625192,8.91548933047977,中性区,False,0.8398218787459816,-0.6260239843857336,0.28289530901062776,0.055181379743164,0.3473494507243541,-0.07492435244208961,-0.0219612,-0.0021989999999999874,-0.02761719999999994
000505.SZ,20260420,食品,537943.1857,205.8678,,61.388013776214436,6.369621942004105,中性区,False,0.8398218787459816,0.5217139679113623,0.24694984870529774,0.06201511182508525,0.29993846183098577,-0.10345083879207628,-0.015020000000000009,-0.0,-0.025444700000000018
000506.SZ,20260420,黄金,1990885.0618,,444.2271,54.58767301359593,56.34766725532961,中性区,False,0.8229632265279965,-1.7943393221559831,0.4909837580427869,0.5256094318977137,0.47602644348623396,-0.18319356012826732,-0.07949429999999999,-0.07229180000000002,-0.20891200000000004
000507.SZ,20260420,新型电力,503094.9876,17.2237,16.6755,62.78702919157268,0.0,中性区,False,0.9479986745761271,0.5847160059790637,0.1419792900366858,0.01716219361950926,0.5107042268288193,-0.05942536632484402,-0.0,0.0,-0.018159100000000004
000509.SZ,20260420,元器件,378814.2024,,,42.54593851061601,49.502409142929324,中性区,False,0.9748396741305451,-5.4331666594641606,0.523191529941291,0.36772734771355714,0.3820464774609278,-0.023701045798485754,-0.03485939999999999,0.0030507999999999985,-0.03633119999999996
000510.SZ,20260420,化工原料,1315894.9421,,,46.82913717492781,66.77406613833949,中性区,False,0.8229632265279965,-3.8425927835643696,0.5349231456354996,0.6446696171027091,0.48004474264765057,-0.16233461769233787,0.02801100000000004,-0.06557249999999998,0.05371419999999989
000513.SZ,20260420,化学制药,3227542.5666,15.6594,15.0646,54.56301714133713,1.0108446640946904,中性区,False,0.9479986745761271,-2.1793961591835305,0.19213013596913628,0.018155838731091833,0.34943595880494405,-0.023375391228459053,-0.004328600000000006,-0.005913999999999999,-0.015425400000000014
000514.SZ,20260420,区域地产,437073.3599,,46.9929,56.9254471541297,3.7059935820450076,中性区,False,0.8398218787459816,-1.2282069053113567,0.1852989290294603,0.0996191256764344,0.32485977702978586,-0.08329350405029251,-0.0097832,0.002471899999999975,-0.008374599999999961
000516.SZ,20260420,医疗保健,1155270.7245,,,50.27574978436207,27.712895247632826,中性区,False,0.8398218787459816,-2.9837270109300102,0.4179304099241904,0.16985748852671115,0.5030985695953059,0.0027924468915804246,-0.02052359999999997,-0.0,-0.03527309999999993
000517.SZ,20260420,区域地产,576289.9698,,,61.84076495531155,15.527837367863508,中性区,False,0.8398218787459816,0.7017278367203754,0.3110074812976172,0.12008031834787687,0.3400937769728998,-0.09327200540992114,-0.0017864000000000016,0.0012249999999999935,-0.006617700000000027
000519.SZ,20260420,专用机械,2669535.5685,,,45.183239244010025,24.385770224359423,中性区,False,0.8229632265279965,-4.277109837326663,0.3964244761737554,0.146526037590173,0.3856021539301716,-0.05899433443677321,-0.03525820000000009,-0.04398639999999993,-0.04510199999999992
000520.SZ,20260420,水运,455437.5548,,,60.021651317189416,27.680450177094112,中性区,False,0.8398218787459816,-0.021551745796984677,0.44707810327971476,0.13244391187085847,0.40355553292813623,-0.12289618182803536,-0.017706699999999975,-0.029152099999999966,0.008324099999999977
000521.SZ,20260420,家用电器,695198.5076,9.9418,10.5776,67.03950928566766,0.0,中性区,False,0.9479986745761271,2.275502091391233,0.11922877025911169,0.010721393319125538,0.521863943016572,-0.07924780914226126,0.0,-0.003302299999999986,-0.0031727999999999483
000523.SZ,20260420,食品,758048.4744,14.7757,14.67,63.35515735716086,4.917711266584945,中性区,False,0.9479986745761271,0.8106037646169268,0.23901253519901933,0.02789701131302065,0.44466662822177305,-0.07920963386767443,-0.002653000000000001,-0.0,-0.008559699999999944
000524.SZ,20260420,旅游服务,840441.5806,55.9745,104.4301,64.47220615760176,24.700148992294288,中性区,False,1.1763019355848097,0.21376327848584767,0.4394316221482571,0.09682887662841416,0.39991203202529246,-0.018921911100131472,-0.024461599999999997,0.00033379999999998724,-0.042098200000000044
000525.SZ,20260420,农药化肥,759741.4294,19.578,84.5948,63.22305765535655,29.85229292396651,中性区,False,0.8398218787459816,1.2513274142582684,0.412231399919027,0.20959507921352336,0.5273609424725475,-0.1190049270400182,-0.07093240000000003,-0.024354100000000007,-0.044169900000000074
