filter,n,etf,gross_alpha,net_alpha,stock_net_r20,etf_net_r20,net_win_pct,net_p
high_macd_hist,28849,sh000852,0.5764428465883905,0.27644284658839025,3.995628562531615,3.719185715943225,42.3619536205761,4.66251224719418e-05
high_macd_hist,28849,sz399006,-0.2678388611228426,-0.5678388611228428,3.995628562531615,4.563467423654459,46.778051232278415,1.1607345251609414e-12
high_macd_hist,28849,sz399303,0.43410552036836475,0.1341055203683646,3.995628562531615,3.861523042163251,41.634025442822974,0.04801769997520337
bull_regime (mkt 60d>0),53273,sh000001,2.3119654764490707,2.011965476449071,4.173778470283898,2.161812993834827,50.29376982711693,3.943619928161296e-228
bull_regime (mkt 60d>0),53273,sh000300,2.786440219712467,2.4864402197124673,4.173778470283898,1.687338250571431,54.2732716385411,0.0
bull_regime (mkt 60d>0),53273,sh000905,-1.7845426266698023,-2.0845426266698026,4.173778470283898,6.2583210969537,32.960411465470315,1.1912361063829808e-234
bull_regime (mkt 60d>0),53273,sh000852,0.35458311579680946,0.05458311579680929,4.173778470283898,4.119195354487089,40.87436412441575,0.3816273730672171
bull_regime (mkt 60d>0),53273,sz399006,-0.8239524414580166,-1.1239524414580169,4.173778470283898,5.2977309117419145,44.76376400803409,8.693876624413002e-58
bull_regime (mkt 60d>0),53273,sz399303,0.3048929491138231,0.004892949113822916,4.173778470283898,4.1688855211700755,40.87436412441575,0.9375143084676371
main_inflow (main_net_5d>0),19781,sh000001,2.3856173056588292,2.085617305658829,3.8718699736895923,1.7862526680307633,51.610130933724285,1.3884600532278125e-152
main_inflow (main_net_5d>0),19781,sh000300,2.936234843136864,2.6362348431368643,3.8718699736895923,1.2356351305527289,55.77068904504322,1.0650314148014947e-222
main_inflow (main_net_5d>0),19781,sh000905,-1.3093237157232163,-1.6093237157232165,3.8718699736895923,5.48119368941281,36.069966129113794,6.23646949228092e-86
main_inflow (main_net_5d>0),19781,sh000852,0.6667299481012438,0.3667299481012436,3.8718699736895923,3.505140025588349,43.41539861483241,3.7153496733367264e-06
main_inflow (main_net_5d>0),19781,sz399006,-0.18763958321038196,-0.48763958321038203,3.8718699736895923,4.359509556899974,47.76300490369547,2.2669646391371664e-07
main_inflow (main_net_5d>0),19781,sz399303,0.5100605905625076,0.21006059056250745,3.8718699736895923,3.661809383127086,42.71270411000455,0.00795775534237757
no_extreme_event,49457,sh000001,2.764007587174881,2.464007587174881,4.488880396099821,2.0248728089249397,53.54954809228219,0.0
no_extreme_event,49457,sh000300,3.4315599133926535,3.1315599133926533,4.488880396099821,1.3573204827071674,58.331479871403445,0.0
no_extreme_event,49457,sh000905,-1.089696500097198,-1.3896965000971981,4.488880396099821,5.8785768961970195,36.39727439998383,2.1801138939158551e-97
no_extreme_event,49457,sh000852,0.8357114395352389,0.5357114395352386,4.488880396099821,3.9531689565645824,43.83403764886669,1.8250223703635356e-16
no_extreme_event,49457,sz399006,0.27506602817348097,-0.02493397182651912,4.488880396099821,4.513814367926341,49.12752492063813,0.7305072430173699
no_extreme_event,49457,sz399303,0.6585505673015359,0.3585505673015357,4.488880396099821,4.130329828798286,43.02929817821542,3.426887513230437e-08
mfk_gold + bull_regime,25870,sh000001,2.129465034002674,1.8294650340026744,3.9274392716254916,2.097974237622817,49.702357943563975,1.2851410605010509e-145
mfk_gold + bull_regime,25870,sh000300,2.6106531776989725,2.3106531776989727,3.9274392716254916,1.616786093926519,53.70699652106688,1.1331217143632876e-212
mfk_gold + bull_regime,25870,sh000905,-1.9107640263055876,-2.210764026305588,3.9274392716254916,6.138203297931079,32.77928102048705,4.867074427520997e-198
mfk_gold + bull_regime,25870,sh000852,0.25061046202123444,-0.04938953797876571,3.9274392716254916,3.9768288096042577,40.67645921917279,0.4880223929169394
mfk_gold + bull_regime,25870,sz399006,-0.8716576423003654,-1.1716576423003655,3.9274392716254916,5.099096913925857,44.88596830305373,2.082369923520984e-43
mfk_gold + bull_regime,25870,sz399303,0.20826637878906648,-0.09173362121093369,3.9274392716254916,4.0191728928364245,40.757634325473525,0.1981255817514076
mfk_gold + low_pyramid,24838,sh000001,2.555656241781259,2.2556562417812587,4.226717473809129,1.9710612320278698,52.33110556405508,3.4342105859057705e-204
mfk_gold + low_pyramid,24838,sh000300,3.1848891834979067,2.884889183497907,4.226717473809129,1.341828290311222,57.001368870279414,4.9619319605518835e-306
mfk_gold + low_pyramid,24838,sh000905,-1.220146302293097,-1.5201463022930972,4.226717473809129,5.7468637761022245,35.84427087527176,4.9469056737882125e-89
mfk_gold + low_pyramid,24838,sh000852,0.7154538704244138,0.41545387042441356,4.226717473809129,3.8112636033847154,42.97447459537805,1.75214208031005e-08
mfk_gold + low_pyramid,24838,sz399006,0.04232435630451805,-0.25767564369548207,4.226717473809129,4.48439311750461,48.437877445849104,0.0029092271551280123
mfk_gold + low_pyramid,24838,sz399303,0.547451059099253,0.24745105909925283,4.226717473809129,3.9792664147098757,42.20146549641678,0.0007764042904165001
mfk_gold + main_inflow,16971,sh000001,2.40286816438516,2.1028681643851606,3.8710452672745825,1.768177102889423,51.564433445289026,3.116317128998903e-130
mfk_gold + main_inflow,16971,sh000300,2.946558134862233,2.646558134862233,3.8710452672745825,1.2244871324123499,55.64197749101408,8.417178537908153e-189
mfk_gold + main_inflow,16971,sh000905,-1.2929934446249085,-1.5929934446249088,3.8710452672745825,5.464038711899492,36.04973189558659,5.450073343999968e-71
mfk_gold + main_inflow,16971,sh000852,0.6629030094565251,0.3629030094565251,3.8710452672745825,3.5081422578180583,43.26203523658005,2.7770076714904052e-05
mfk_gold + main_inflow,16971,sz399006,-0.24179866857078627,-0.5417986685707864,3.8710452672745825,4.412843935845369,47.50456661363502,1.3271772316033305e-07
mfk_gold + main_inflow,16971,sz399303,0.49498433697870525,0.19498433697870526,3.8710452672745825,3.6760609302958778,42.484237817453305,0.024116172555079855
low_pyramid + bull_regime,43401,sh000001,2.5203473463474557,2.220347346347456,4.458910745158757,2.238563398811302,51.7015736964586,2.679409103540948e-210
low_pyramid + bull_regime,43401,sh000300,3.0879346237286813,2.7879346237286824,4.458910745158757,1.6709761214300753,56.171516785327526,0.0
low_pyramid + bull_regime,43401,sh000905,-1.6270805269229427,-1.9270805269229425,4.458910745158757,6.385991272081699,33.55913458215248,4.0835130071989814e-153
low_pyramid + bull_regime,43401,sh000852,0.4897625952740567,0.18976259527405656,4.458910745158757,4.2691481498847015,41.450657818944265,0.008108961023367467
low_pyramid + bull_regime,43401,sz399006,-0.36625368348233206,-0.6662536834823323,4.458910745158757,5.12516442864109,46.630261975530516,6.831494608937583e-17
low_pyramid + bull_regime,43401,sz399303,0.4095617956888023,0.10956179568880214,4.458910745158757,4.349348949469955,41.3423653832861,0.12635276842275434
全套 (gold + low_pyr + bull),21647,sh000001,2.304131189078584,2.0041311890785836,4.182454982810243,2.17832379373166,50.69062687670347,4.631044519533944e-143
全套 (gold + low_pyr + bull),21647,sh000300,2.832100040843991,2.5321000408439907,4.182454982810243,1.6503549419662524,55.02841040328914,7.590970152195438e-209
全套 (gold + low_pyr + bull),21647,sh000905,-1.7825028113542847,-2.082502811354285,4.182454982810243,6.26495779416453,33.18242712616067,2.5072424715250864e-144
全套 (gold + low_pyr + bull),21647,sh000852,0.3752063554535057,0.07520635545350549,4.182454982810243,4.1072486273567375,41.031089758396085,0.33935609061204014
全套 (gold + low_pyr + bull),21647,sz399006,-0.6168256404236161,-0.9168256404236164,4.182454982810243,5.09928062323386,46.16344066152354,1.0004273671273274e-22
全套 (gold + low_pyr + bull),21647,sz399303,0.3166349165331142,0.016634916533114018,4.182454982810243,4.165820066277129,41.086524691643184,0.8326571555112625
baseline,61058,sh000001,2.618638501584233,2.3186385015842332,4.270821764740343,1.9521832631561102,52.18972124864882,0.0
baseline,61058,sh000300,3.201966878395197,2.9019668783951973,4.270821764740343,1.368854886345146,56.51184120017033,0.0
baseline,61058,sh000905,-1.1666859430752041,-1.4666859430752042,4.270821764740343,5.737507707815547,35.88718922991254,4.9562296205567215e-139
baseline,61058,sh000852,0.7580127569592605,0.45801275695926036,4.270821764740343,3.812809007781083,43.06069638704183,1.2692491681253003e-15
baseline,61058,sz399006,-0.07480906111512423,-0.3748090611151244,4.270821764740343,4.645630825855467,47.389367486652034,5.2460015181845565e-09
baseline,61058,sz399303,0.6013958638602941,0.30139586386029393,4.270821764740343,3.9694259008800494,42.300763208752336,1.380591199728871e-07
