filter,n,etf,gross_alpha,net_alpha,stock_net_r20,etf_net_r20,net_win_pct,net_p
mfk_gold (cross=+1),29521,sh000001,2.3973704364054096,2.097370436405409,4.002724594673094,1.9053541582676847,51.261813624199725,2.633100698970603e-212
mfk_gold (cross=+1),29521,sh000300,2.9845569720759313,2.684556972075931,4.002724594673094,1.318167622597163,55.65190881067714,0.0
mfk_gold (cross=+1),29521,sh000905,-1.3596703842612599,-1.6596703842612601,4.002724594673094,5.662394978934355,35.26303309508486,6.63385284381153e-127
mfk_gold (cross=+1),29521,sh000852,0.5924748714163258,0.2924748714163256,4.002724594673094,3.7102497232567684,42.4579113173673,1.3589879110770967e-05
mfk_gold (cross=+1),29521,sz399006,-0.19931404262590974,-0.4993140426259099,4.002724594673094,4.502038637299004,47.14609938687714,2.7651924524053703e-10
mfk_gold (cross=+1),29521,sz399303,0.44266990758270597,0.1426699075827058,4.002724594673094,3.860054687090388,41.783814911418986,0.03367039437484288
mfk_strong_cross,28122,sh000001,2.3748757265230056,2.0748757265230053,3.972935654982395,1.8980599284593893,51.15567882796387,6.721952233460385e-197
mfk_strong_cross,28122,sh000300,2.954648859526667,2.6546488595266675,3.972935654982395,1.3182867954557278,55.55792617879241,5.606660834757254e-296
mfk_strong_cross,28122,sh000905,-1.368277387482907,-1.6682773874829073,3.972935654982395,5.641213042465301,35.15752791408862,1.4586966259083584e-121
mfk_strong_cross,28122,sh000852,0.5825563229150071,0.28255632291500704,3.972935654982395,3.690379332067388,42.3654078657279,4.3158701609384295e-05
mfk_strong_cross,28122,sz399006,-0.23337238052940754,-0.5333723805294077,3.972935654982395,4.506308035511802,47.0130147215703,5.002845992618579e-11
mfk_strong_cross,28122,sz399303,0.43487798334333766,0.13487798334333742,3.972935654982395,3.8380576716390578,41.68978024322595,0.05074927155687451
low_pyramid (机构占比 < 0.45),50177,sh000001,2.8206986392523845,2.5206986392523847,4.5298120659537595,2.0091134267013744,53.638121051477775,0.0
low_pyramid (机构占比 < 0.45),50177,sh000300,3.487527819755855,3.1875278197558554,4.5298120659537595,1.3422842461979039,58.385315981425755,0.0
low_pyramid (机构占比 < 0.45),50177,sh000905,-0.9739444853026586,-1.2739444853026587,4.5298120659537595,5.803756551256418,36.743926500189325,4.046734706838691e-82
low_pyramid (机构占比 < 0.45),50177,sh000852,0.9116323685403491,0.611632368540349,4.5298120659537595,3.9181796974134104,43.83083883053989,5.957424659591969e-21
low_pyramid (机构占比 < 0.45),50177,sz399006,0.3692408120686077,0.06924081206860769,4.5298120659537595,4.460571253885151,49.283536281563265,0.3383939615784706
low_pyramid (机构占比 < 0.45),50177,sz399303,0.7224584185059992,0.422458418505999,4.5298120659537595,4.10735364744776,42.9200629770612,8.28931306993877e-11
high_macd_hist,28849,sh000001,2.374506782462994,2.0745067824629935,3.995628562531615,1.921121780068622,51.07976013033381,1.2602365021139001e-204
high_macd_hist,28849,sh000300,2.946151755460381,2.6461517554603815,3.995628562531615,1.3494768070712342,55.49932406669209,1.7941523483493258e-305
high_macd_hist,28849,sh000905,-1.3377673380089452,-1.6377673380089457,3.995628562531615,5.633395900540561,35.38424208811397,5.346612947443052e-121
