version,top_pct,n,thresh,dd20_lt_8pct,dd20_lt_15pct,r20_mean
V4 (无 mfk),10,92006,91.51955345595698,55.77897093667804,22.093124361454688,1.34220235442657
V4 (无 mfk),5,46003,96.88982277809208,57.728843771058415,25.091841836401972,1.0901053718721951
V4 (无 mfk),1,18263,100.0,58.966215846246506,27.684389202212124,0.8502987587718088
V6 (含 mfk),10,92006,92.16484932641322,55.790926678694866,22.3941916831511,1.3815858922571065
V6 (含 mfk),5,46003,97.16201384426384,59.19831315348999,26.459143968871597,1.017530704321078
V6 (含 mfk),1,19813,100.0,63.01922979861707,31.00994296673901,0.4127197366202189
