filter,thresh,n,stock_r20,α_vs_sh000001,net_α_vs_sh000001,win_sh000001,p_sh000001,α_vs_sh000300,net_α_vs_sh000300,win_sh000300,p_sh000300,α_vs_sh000905,net_α_vs_sh000905,win_sh000905,p_sh000905,α_vs_sz399006,net_α_vs_sz399006,win_sz399006,p_sz399006
pyr_5d<p20,0.20091242627259082,17603,5.996956276234629,3.580962447062939,3.280962447062939,60.65443390331193,3.85374899391398e-139,4.356917323801444,4.056917323801444,64.88666704538998,2.413364495124888e-198,-0.07573776426058529,-0.3757377642605852,42.197352723967505,0.5982988296136897,1.514703668072257,1.2147036680722567,55.2689882406408,8.620339374221199e-24
pyr_5d<p35,0.26285855530849966,28356,5.535695575469459,3.1991246469402115,2.8991246469402117,58.23811539004091,5.088241259949053e-236,3.933156246370353,3.633156246370353,62.822683030046555,0.0,-0.4911043639127772,-0.7911043639127774,40.49583862321907,6.338385272400544e-07,0.9932781585231711,0.6932781585231709,53.24446325292706,2.853750633719046e-21
pyr_5d<p50,0.32628558579068784,37700,5.3415569222008035,3.0632425789193456,2.763242578919346,56.92307692307692,0.0,3.774928741325715,3.4749287413257144,61.64721485411141,0.0,-0.6575475880899855,-0.9575475880899854,39.49602122015915,4.0532420862538e-16,0.7879089357287159,0.48790893572871585,52.289124668435015,1.3196621840250128e-19
pyr_10d<p20,0.20640398105338148,18864,5.886946320751664,3.4931738443635605,3.19317384436356,60.69762510602206,3.8386672818073916e-150,4.284378048175464,3.984378048175464,64.99151823579304,4.9065608022516974e-217,-0.18680014175460571,-0.48680014175460584,42.170271416454625,0.16623390699686394,1.416944069030128,1.116944069030128,55.23218829516539,1.7778302561924177e-23
pyr_10d<p35,0.2680696466532241,29708,5.557020886946075,3.2157852016484454,2.915785201648446,58.26040123872358,9.405905509375678e-253,3.9704538825902644,3.670453882590264,63.00996364615592,0.0,-0.5115557546466193,-0.8115557546466193,40.443651541672274,9.113919086986127e-08,1.0197981125404882,0.719798112540488,53.48054396122257,1.6903095582461917e-23
pyr_10d<p50,0.3304417209704553,38946,5.340867500685842,3.068632245427868,2.7686322454278676,57.02511169311354,0.0,3.793417439545037,3.493417439545037,61.75216967082628,0.0,-0.6803471671926832,-0.9803471671926833,39.4520618291994,5.862649712001943e-18,0.7934874023444213,0.49348740234442123,52.45981615570277,9.515344347970484e-21
pyr_20d<p20,0.21250763372776493,19759,5.919938265930598,3.586964869956272,3.286964869956272,61.06584341312819,2.3990816765787103e-169,4.379217477255447,4.0792174772554475,65.60554683941496,2.6469212577855705e-242,-0.23984094024709585,-0.5398409402470961,41.95050356799433,0.06591657922167497,1.3679433071744114,1.0679433071744115,55.5240649830457,3.192121351458239e-23
pyr_20d<p35,0.2734395647277261,30647,5.409570671200579,3.137412752005684,2.837412752005684,58.18514047051914,4.7741789192595895e-256,3.9002153348181134,3.600215334818113,63.08284660815088,0.0,-0.6916152061371007,-0.9916152061371011,39.88644891832806,9.8978300266393e-14,0.874226640442589,0.574226640442589,53.437530590269844,1.554141412636725e-18
pyr_20d<p50,0.33486748296567265,39649,5.296058123089645,3.0583703189659177,2.758370318965918,57.17924790032536,0.0,3.7845490845528675,3.4845490845528673,61.94103256072032,0.0,-0.7644061469519103,-1.0644061469519104,39.29481197508134,4.335300515187952e-23,0.7081127961129235,0.40811279611292367,52.4199853716361,2.3960945288453663e-17
pyr_60d<p20,0.23043116363133184,19957,5.650549637667803,3.3427320111315075,3.0427320111315077,58.84150924487649,1.2259885334436624e-148,3.960066080036916,3.6600660800369162,62.609610662925284,3.359793400205412e-200,-0.3813060070693515,-0.6813060070693516,40.89291977752167,0.003326312443655519,0.6526785910150193,0.3526785910150192,52.648193616274995,2.411836284065888e-06
