filter,n,etf,stock_r20,etf_r20,alpha,win_pct,p_value
mfk_gold + low_pyramid,24838,sh000852,4.726717473809129,4.011263603384715,0.7154538704244138,44.6332232868991,3.083884262689123e-22
mfk_gold + low_pyramid,24838,sz399006,4.726717473809129,4.6843931175046105,0.04232435630451805,49.85506079394476,0.6248022686611399
mfk_gold + low_pyramid,24838,sz399303,4.726717473809129,4.1792664147098755,0.547451059099253,43.743457605282224,1.0647043312998553e-13
mfk_gold + main_inflow,16971,sh000001,4.371045267274583,1.9681771028894228,2.40286816438516,53.18484473513641,1.4957782740115974e-168
mfk_gold + main_inflow,16971,sh000300,4.371045267274583,1.42448713241235,2.946558134862233,57.39202168404927,3.693180349595741e-232
mfk_gold + main_inflow,16971,sh000905,4.371045267274583,5.664038711899492,-1.2929934446249085,37.458016616581226,1.5601985793352031e-47
mfk_gold + main_inflow,16971,sh000852,4.371045267274583,3.708142257818058,0.6629030094565251,44.91780095456956,1.994521637665478e-14
mfk_gold + main_inflow,16971,sz399006,4.371045267274583,4.61284393584537,-0.24179866857078627,48.918743739320014,0.01852420219682159
mfk_gold + main_inflow,16971,sz399303,4.371045267274583,3.876060930295878,0.49498433697870525,44.110541511991045,1.0473931032581641e-08
low_pyramid + bull_regime,43401,sh000001,4.958910745158758,2.4385633988113016,2.5203473463474557,53.50337549826041,1.649686181840854e-269
low_pyramid + bull_regime,43401,sh000300,4.958910745158758,1.8709761214300753,3.0879346237286813,57.82124835833275,0.0
low_pyramid + bull_regime,43401,sh000905,4.958910745158758,6.585991272081699,-1.6270805269229427,34.84021105504481,5.679308976785651e-110
low_pyramid + bull_regime,43401,sh000852,4.958910745158758,4.469148149884701,0.4897625952740567,43.01283380567268,8.40727671531905e-12
low_pyramid + bull_regime,43401,sz399006,4.958910745158758,5.32516442864109,-0.36625368348233206,47.971244902191195,4.402658034644729e-06
low_pyramid + bull_regime,43401,sz399303,4.958910745158758,4.549348949469955,0.4095617956888023,42.79855302873206,1.1077395819373368e-08
全套 (gold + low_pyr + bull),21647,sh000001,4.682454982810243,2.37832379373166,2.304131189078584,52.43220769621657,1.485050735615228e-187
全套 (gold + low_pyr + bull),21647,sh000300,4.682454982810243,1.8503549419662528,2.832100040843991,56.70993671178455,2.446505104789708e-259
全套 (gold + low_pyr + bull),21647,sh000905,4.682454982810243,6.464957794164528,-1.7825028113542847,34.47128932415578,1.0902670253383437e-106
全套 (gold + low_pyr + bull),21647,sh000852,4.682454982810243,4.307248627356738,0.3752063554535057,42.675659444726755,1.8838103512999454e-06
全套 (gold + low_pyr + bull),21647,sz399006,4.682454982810243,5.29928062323386,-0.6168256404236161,47.553933570471656,3.9665244363848386e-11
全套 (gold + low_pyr + bull),21647,sz399303,4.682454982810243,4.36582006627713,0.3166349165331142,42.55555042269137,5.792370137657479e-05
