label,date,entry,exit,H,n,pool,ret,med,win%,mkt_ew,alpha,pctile_med
V7c主推@20260420,20260420,20260421,20260427,5,11,11,1.68,0.34,55.0,-0.46,2.15,62.3
V7c主推@20260420,20260420,20260421,20260507,10,11,11,8.64,5.19,91.0,3.05,5.59,68.8
V7c主推@20260420,20260420,20260421,20260521,20,11,11,1.9,-2.2,36.0,-0.01,1.91,55.0
V7c主推@20260507,20260507,20260508,20260514,5,7,7,0.83,1.22,57.0,0.34,0.49,69.2
V7c主推@20260507,20260507,20260508,20260521,10,7,7,-2.45,-2.92,14.0,-2.89,0.44,62.5
V7c主推@20260508,20260508,20260511,20260515,5,54,54,-2.26,-2.65,17.0,-1.88,-0.38,56.2
V7c主推@20260508,20260508,20260511,20260522,10,54,54,-4.91,-5.85,22.0,-2.94,-1.97,47.8
V7c主推@20260511,20260511,20260512,20260518,5,164,164,-3.72,-4.96,11.0,-2.39,-1.33,37.1
V7c主推@20260511,20260511,20260512,20260525,10,164,164,-6.35,-7.72,10.0,-3.44,-2.9,39.8
V7c主推@20260512,20260512,20260513,20260519,5,13,13,-1.58,-2.0,15.0,-0.21,-1.37,44.9
V7c主推@20260512,20260512,20260513,20260526,10,13,13,-4.61,-4.61,8.0,-3.61,-1.0,57.8
V7c主推@20260513,20260513,20260514,20260520,5,157,157,-3.36,-3.68,15.0,-2.37,-0.98,48.5
V7c主推@20260513,20260513,20260514,20260527,10,157,157,-8.51,-9.27,7.0,-7.02,-1.49,47.7
V7c主推@20260514,20260514,20260515,20260521,5,165,165,-4.34,-4.94,10.0,-3.27,-1.07,43.6
V7c主推@20260514,20260514,20260515,20260528,10,165,165,-7.62,-8.1,6.0,-4.49,-3.13,42.0
V7c主推@20260515,20260515,20260518,20260522,5,199,199,-2.15,-2.8,16.0,-0.77,-1.39,42.5
V7c主推@20260515,20260515,20260518,20260529,10,199,199,-9.02,-9.1,5.0,-5.98,-3.03,42.0
V12final20@20260508,20260508,20260511,20260515,5,20,20,-1.34,-2.88,45.0,-1.88,0.54,53.9
V12final20@20260508,20260508,20260511,20260522,10,20,20,-2.81,-0.61,45.0,-2.94,0.13,71.1
V12final20@20260513,20260513,20260514,20260520,5,20,20,-4.19,-3.88,10.0,-2.37,-1.82,46.6
V12final20@20260513,20260513,20260514,20260527,10,20,20,-10.14,-9.53,0.0,-7.02,-3.12,46.0
Top20ratio@20260526,20260526,20260527,20260602,5,17,17,-4.16,-6.21,24.0,-3.59,-0.57,33.0
Top20ratio@20260527,20260527,20260528,20260603,5,20,20,-3.63,-4.68,20.0,-1.95,-1.68,33.1
